data_ymd;ano;mes;area;epoca;recuperacao;ndvi;Frequencia
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,090128755;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,34939759;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,435897436;0,839215686
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,177142857;0,984313725
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,288888889;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,344444444;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,185929648;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,211764706;0,733333333
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,398773006;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,096491228;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,420118343;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,105990783;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,368983957;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,439153439;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,22962963;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,074380165;4
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,325966851;1,474509804
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,298701299;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,444444444;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,291005291;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,301204819;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,09009009;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,290780142;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,392670157;0,717647059
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;-0,039215686;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,186440678;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,035294118;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,383783784;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,112107623;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,213872832;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,315217391;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,287356322;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,351351351;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,129310345;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,108108108;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,383647799;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,213483146;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,030769231;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,215469613;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,122807018;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,37704918;2
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,392265193;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,286486486;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,082251082;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,06779661;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,126126126;0,854901961
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,220338983;1,956862745
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,229508197;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0;3,964705882
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,329479769;1
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,231638418;0,77254902
2001-02-06 00:00:00 UTC;2001;2;prada;chuvoso;degradado;0,318435754;2,352941176
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,470198675;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,440559441;4
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,278481013;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,45323741;1,411764706
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,475177305;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,434482759;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,185185185;0,992156863
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,471428571;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,453333333;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,363636364;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,274853801;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,469387755;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,418439716;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,457142857;1,074509804
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,329192547;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,441176471;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,430555556;4,737254902
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,434782609;1,717647059
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,402777778;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,455782313;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,454545455;6
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,373333333;3
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,479452055;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,472972973;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,464788732;3,917647059
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,458333333;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,465753425;3
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,437037037;0,909803922
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,432624113;6
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,442857143;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,472222222;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,285714286;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,444444444;3,682352941
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,398601399;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,448275862;2
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,316770186;1
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,222857143;0,839215686
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,462068966;2,807843137
2001-02-06 00:00:00 UTC;2001;2;ucdb;chuvoso;degradado;0,202312139;1
